date,NE1PL,NE1SS,NE1BR,NE2PL,NE2SS,NE2BR,NW1PL,NW1SS,NW1BR
2022/01/21,5,10,5,2,3,2,6,12,4
2022/01/22,0,0,0,0,0,0,0,0,0
2022/01/23,0,0,0,0,0,0,0,0,0
2022/01/24,5,10,5,2,3,2,6,12,4
2022/01/25,5,10,5,2,3,2,6,12,4
2022/01/26,5,10,5,2,3,2,6,12,4
2022/01/27,5,10,5,2,3,2,6,12,4
2022/01/28,5,10,5,2,3,2,6,12,4
2022/01/29,0,0,0,0,0,0,0,0,0
2022/01/30,0,0,0,0,0,0,0,0,0
2022/01/31,5,10,5,2,3,2,6,12,4
2022/02/01,5,10,5,2,3,2,6,12,4
2022/02/02,5,10,5,2,3,2,6,12,4
2022/02/03,5,10,5,2,3,2,6,12,4
2022/02/04,5,10,5,2,3,2,6,12,4
2022/02/05,0,0,0,0,0,0,0,0,0
2022/02/06,0,0,0,0,0,0,0,0,0
2022/02/07,5,10,5,2,3,2,6,12,4
2022/02/08,5,10,5,2,3,2,6,12,4
2022/02/09,5,10,5,2,3,2,6,12,4
2022/02/10,5,10,5,2,3,2,6,12,4
2022/02/11,5,10,5,2,3,2,6,12,4
2022/02/12,0,0,0,0,0,0,0,0,0
2022/02/13,0,0,0,0,0,0,0,0,0
2022/02/14,5,10,5,2,3,2,6,12,4
2022/02/15,5,10,5,2,3,2,6,12,4
2022/02/16,5,10,5,2,3,2,6,12,4
2022/02/17,5,10,5,2,3,2,6,12,4
2022/02/18,5,10,5,2,3,2,6,12,4
2022/02/19,0,0,0,0,0,0,0,0,0
2022/02/20,0,0,0,0,0,0,0,0,0
2022/02/21,5,10,5,2,3,2,6,12,4
2022/02/22,5,10,5,2,3,2,6,12,4
2022/02/23,5,10,5,2,3,2,6,12,4
2022/02/24,5,10,5,2,3,2,6,12,4
2022/02/25,5,10,5,2,3,2,6,12,4
2022/02/26,0,0,0,0,0,0,0,0,0
2022/02/27,0,0,0,0,0,0,0,0,0
2022/02/28,5,10,5,2,3,2,6,12,4
2022/03/01,5,10,5,2,3,2,6,12,4
2022/03/02,5,10,5,2,3,2,6,12,4
2022/03/03,5,10,5,2,3,2,6,12,4
2022/03/04,5,10,5,2,3,2,6,12,4
2022/03/05,5,10,5,2,3,2,6,12,4
2022/03/06,5,10,5,2,3,2,6,12,4
2022/03/07,0,0,0,0,0,0,0,0,0
2022/03/08,0,0,0,0,0,0,0,0,0
2022/03/09,0,0,0,0,0,0,0,0,0
2022/03/10,0,0,0,0,0,0,0,0,0
2022/03/11,0,0,0,0,0,0,0,0,0
